# fp_number	status	summary  (FY2025 fee-setting final rule, 2025-01-17; notice-only)
2.14	new	Continuing Application Fee, 35 U.S.C. 120, 121, 365(c), or 386(c) Benefit Claim -- new form paragraph.
6.49.11	new	Information Disclosure Statement Not Considered, No Size Fee Assertion -- new form paragraph.
6.49.12	new	Information Disclosure Statement Not Considered, No Size Fee -- new form paragraph.
2.01	revised	Possible Status as Divisional -- Added CAF warning language.
2.05	revised	Possible Status as Continuation -- Added CAF warning language.
2.06	revised	Possible Status as Continuation-in-Part -- Added CAF warning language.
2.09	revised	Heading for Conditions for Benefit Claims Under 35 U.S.C. 119(e), 120, 121, 365(c), or 386(c) -- Added a reference to new CAF form paragraph in examiner note.
2.11.01	revised	Application Must Be Filed Within 12 Months From the Provisional Application Unless Petition Granted -- Changed citation of 1.17(m); added CAF warning language.
2.15	revised	Reference to Prior Application, 35 U.S.C. 119(e), 120, 121, 365(c), or 386(c) Benefit -- Changed citation of 1.17(m); added CAF warning language.
2.21.01	revised	35 U.S.C. 119(a)-(d) or (f), 365(a) or (b), or 386(a) Foreign Priority Claim is Untimely -- Changed citation of 1.17(m).
2.22	revised	Certified Copy Filed, But Proper Claim Not Made -- Added citation to 1.17(m).
2.23	revised	Foreign Filing More Than 12 Months Earlier, No Petition to Restore Priority Granted -- Changed citation of 1.17(m).
2.39	revised	35 U.S.C. 119(e), 120, 121, or 365(c), or 386(c) Benefit Claim is Untimely -- Changed citation of 1.17(m); added CAF warning language.
6.49.01	revised	Information Disclosure Statement Not Considered, After First Action, But Before the Prosecution of the Application Closes, No Timing Statement -- Added a specified Timing statement.
6.49.02	revised	Information Disclosure Statement Not Considered, After First Action, But Before the Prosecution of the Application Closes, No Timing Fee -- Added a specified Timing fee.
6.49.03	revised	Information Disclosure Statement Not Considered, After the Prosecution of the Application Closes, Issue Fee Not Paid, No Timing Statement -- Added a specified Timing statement.
6.49.05	revised	Information Disclosure Statement Not Considered, After the Prosecution of the Application Closes, Issue Fee Not Paid, No Timing Fee -- Added a specified Timing fee.
6.55	revised	References Not Considered in 35 U.S.C. 371 Application Based Upon Search Report -- Modified language related to IDS practice.
7.39	revised	Action Is Final -- Added a specified nonprovisional EOT.
7.40	revised	Action Is Final, Necessitated by Amendment -- Added a specified nonprovisional EOT.
7.40.01	revised	Action Is Final, Necessitated by IDS With Timing Fee -- Added a specified nonprovisional EOT; added a specified Timing fee.
7.40.02.aia	revised	Action Is Final, Necessitated by Invoking the Joint Research Agreement Prior Art Exception Under 35 U.S.C. 102(b)(2)(C) -- Added a specified nonprovisional EOT; added a specified Timing fee in examiner note.
7.40.02.fti	revised	Action Is Final, Necessitated by Invoking the Joint Research Agreement Prior Art Disqualification Under Pre-AIA 35 U.S.C. 103(c) -- Added a specified nonprovisional EOT; added a specified Timing fee in examiner note.
7.41	revised	Action Is Final, First Action -- Added a specified nonprovisional EOT.
7.41.03	revised	Action Is Final, First Action Following Submission Under 37 CFR 1.53(d), Continued Prosecution Application (CPA) in a Design Application -- Added a specified nonprovisional EOT.
7.42.03.fti	revised	Action Is Final, First Action Following Submission Under 37 CFR 1.129(a) Filed Prior to June 8, 2005 -- Added a specified nonprovisional EOT.
7.42.031.fti	revised	Action Is Final, Action Following Submission Under 37 CFR 1.129(a) Filed On or After June 8, 2005 -- Added a specified nonprovisional EOT; added a specified Timing fee.
7.42.09	revised	Action Is Final, First Action Following Request for Continued Examination under 37 CFR 1.114 -- Added a specified nonprovisional EOT.
7.54	revised	Suspension of Action, Applicant's Request -- Added a specified further suspension in view of 17(g)(2)(ii).
7.91	revised	Reply Is Not Fully Responsive, Extension of Time Suggested -- Added a specified nonprovisional EOT.
7.98.01	revised	Reply Is Late, Extension of Time Suggested, Pro Se -- Replaced attachment with website.
7.98.02	revised	Reply Is Late, Petition To Revive Suggested, Pro Se -- Changed citation of 1.17(m); added link to current fees website.
7.123	revised	Waiver of Timing Fee and Statement Requirements for Certain Information Disclosures -- Added a specified Timing fee.
7.204	revised	Petition Under 37 CFR 1.59(b) To Expunge Information: Decision Held in Abeyance -- Changed citation of 1.17(g).
7.205	revised	Petition Under 37 CFR 1.59(b) To Expunge Information Granted -- Changed citation of 1.17(g).
7.207	revised	Petition To Expunge, Conclusion, Lacks Fee -- Changed citation of 1.17(g).
10.20	revised	Petition or Request Dismissed, Proper Fee Not Submitted -- Changed citation of 1.17(g).
13.02.02	revised	Extension of Time and Examiner's Amendment Authorized -- Added examiner note with fees link.
13.06	revised	Extension of Time by Examiner's Amendment -- Added examiner note with fees link.
13.09	revised	Information Disclosure Statement, Issue Fee Paid -- Added IDS language.
15.01.01	revised	Conditions Under 35 U.S.C. 172 Not Met -- Changed citation of 1.17(m).
15.02	revised	Claimed Foreign Priority, No Certified Copy Filed -- Changed citation of 1.17(g).
15.26	revised	Identification of Prior Application(s) in Nonprovisional Applications - Benefit Claimed -- Added CAF warning language.
22.09	revised	Ex Parte Reexamination - Action Is Final -- Changed citation of 1.17(g).
22.10	revised	Ex Parte Reexamination - Action Is Final, Necessitated by Amendment -- Changed citation of 1.17(g).
